id|source|year|venue|title|decision
CR35|Crossref|2024|Nondestructive Testing and Evaluation|Utilizing an enhanced machine learning approach for geopolymer concrete analysis (10.1080/10589759.2024.2334434)|INCLUDE
CR36|Crossref|2025|Results in Engineering|ML-based predictive modelling of biodiesel production catalysed by BFS geopolymer (10.1016/j.rineng.2025.104126)|DUPLICATE-SD140
CR37|Crossref|2024|Construction and Building Materials|Predicting the compressive strength of engineered geopolymer composites using AutoML (10.1016/j.conbuildmat.2024.137509)|DUPLICATE-SD270
CR38|Crossref|2025|Industrial Construction|Prediction of CS of Fly Ash-Based Geopolymer Concrete Based on ML (10.3724/j.gyjzg24102302)|EXCLUDE-EC7
CR39|Crossref|2023|Asian Journal of Civil Engineering|Prediction of CS of geopolymer concrete using random forest machine and deep learning (10.1007/s42107-023-00670-w)|INCLUDE
CR40|Crossref|2026|Sustainability|Interpretable Machine Learning for CS Prediction of Fly Ash-Based Geopolymer Concrete (10.3390/su18052227)|INCLUDE
CR41|Crossref|2021|Construction and Building Materials|ML model for predicting crack detection and pattern recognition of geopolymer concrete beams (10.1016/j.conbuildmat.2021.123785)|DUPLICATE-SD284
CR42|Crossref|2025|Scientific Reports|ML based optimization of fly ash content (10.1038/s41598-025-29088-x)|DUPLICATE-SP15
CR43|Crossref|2025|Asian Journal of Civil Engineering|Prediction of CS of geopolymer concrete using optimised ML algorithms (10.1007/s42107-025-01541-2)|DUPLICATE-SP10
CR44|Crossref|2026|Bulletin of Computational Intelligence|Explainable Hybridized ML for Prediction of CS of Fly-Ash based Geopolymer Concrete (10.53941/bci.2026.100012)|EXCLUDE-EC7
CR45|Crossref|2026|Scientific Reports|Explainable ML based optimization of strength, durability, and carbon efficiency of fly ash-GGBS geopolymer concrete (10.1038/s41598-026-48502-6)|INCLUDE
CR46|Crossref|2023|Materials Today: Proceedings|Conventional and Ensemble ML Models (10.1016/j.matpr.2023.04.393)|EXCLUDE-EC4
CR47|Crossref|2026|Next Materials|Advancing biodiesel production review (10.1016/j.nxmate.2026.102018)|EXCLUDE-EC5
CR48|Crossref|2023|Journal of Building Engineering|Physico-mechanical waste geopolymer powder semi-lightweight (10.1016/j.jobe.2023.106629)|DUPLICATE-SD164
CR49|Crossref|2026|Procedia Computer Science|Generative ML Models for Geopolymer Concrete (10.1016/j.procs.2026.06.566)|EXCLUDE-EC4
CR50|Crossref|2026|ENGINEERING Structure and Civil Engineering|Strengthening mechanisms and ML prediction of fiber-reinforced geopolymer composites (10.1007/s11709-026-1335-3)|DUPLICATE-SP11
CR51|Crossref|2024|Cleaner Materials|Ensemble ML and metaheuristic optimization elastic modulus (10.1016/j.clema.2024.100258)|DUPLICATE-SD253
CR52|Crossref|2026|Next Materials|ML driven classification and optimization silica fume-PP fiber (10.1016/j.nxmate.2026.102389)|DUPLICATE-SD236
CR53|Crossref|2020|World Journal of Advanced Research and Reviews|Prediction of GGBS based geopolymer concrete strength by using ML (10.30574/wjarr.2020.5.1.0016)|EXCLUDE-EC1
CR54|Crossref|2026|CMES|ML Prediction of the CS of Nano-Silica-Modified Hybrid Geopolymer Mortar (10.32604/cmes.2026.083537)|INCLUDE
CR55|Crossref|2025|Materials Today Sustainability|Machine learning and sustainable geopolymer materials: A systematic review (10.1016/j.mtsust.2025.101095)|DUPLICATE-SD71
CR56|Crossref|2025|International Journal of Applied Ceramic Technology|Comparative study of ML algorithms for predicting CS of geopolymer concrete (10.1111/ijac.70065)|INCLUDE
CR57|Crossref|2024|Advances in Engineering Software|Modelling CS of geopolymer recycled aggregate concrete (10.1016/j.advengsoft.2024.103611)|DUPLICATE-SD175
CR58|Crossref|2026|Materials|Prediction of UCS of One-Part Geopolymer-Stabilized Soil Under Acidic Erosion (10.3390/ma19010209)|INCLUDE
CR59|Crossref|2024|Computers and Geotechnics|Generic framework for mix design of geopolymer for soil stabilization (10.1016/j.compgeo.2024.106322)|DUPLICATE-SD235
CR60|Crossref|2024|Structural Concrete|Predictive modeling of CS of geopolymer concrete before and after high temperature (10.1002/suco.202400552)|INCLUDE
CR61|Crossref|2022|Construction and Building Materials|Chemistry-informed machine learning prediction of CS for alkali-activated materials (10.1016/j.conbuildmat.2021.126103)|DUPLICATE-SD200
CR62|Crossref|2026|Asian Journal of Civil Engineering|Data-driven ensemble ML framework for reliable CS prediction of alkali-activated composites (10.1007/s42107-026-01654-2)|INCLUDE
CR63|Crossref|2024|Materials|Efficient CS Prediction of Alkali-Activated Waste Materials Using ML (10.3390/ma17133141)|INCLUDE
CR64|Crossref|2022|Construction and Building Materials|CS prediction of one-part alkali activated material (10.1016/j.conbuildmat.2022.129534)|DUPLICATE-SD131
CR65|Crossref|2023|Journal of Building Engineering|Autogenous shrinkage prediction model (10.1016/j.jobe.2023.106538)|DUPLICATE-SD56
CR66|Crossref|2023|Construction and Building Materials|Mechanical properties prediction of BFS and FA-based AAC (10.1016/j.conbuildmat.2023.133933)|DUPLICATE-SD132
CR67|Crossref|2026|Journal for Research in Applied Sciences and Biotechnology|ML Prediction of Reinforcement Bond Strength in Fly ASH-GGBS Based AAC (10.55544/jrasb.5.3.8)|EXCLUDE-QUALITY
CR68|Crossref|2024|Journal of Building Engineering|Integrating data imputation and augmentation (10.1016/j.jobe.2024.111248)|DUPLICATE-SD20
CR69|Crossref|2020|ACI Materials Journal|Design of Alkali-Activated Slag-Fly Ash Concrete Mixtures Using Machine Learning (10.14359/51727019)|INCLUDE
CR70|Crossref|2022|Construction and Building Materials|Prediction of CS of alkali-activated CDW geopolymers (10.1016/j.conbuildmat.2022.129600)|DUPLICATE-SD16
CR71|Crossref|2025|Case Studies in Construction Materials|ML-based prediction of carbonation depth in AAM (10.1016/j.cscm.2025.e05311)|DUPLICATE-SD18
CR72|Crossref|2023|Construction and Building Materials|Prediction & optimization of AAC based on RF (10.1016/j.conbuildmat.2023.131519)|DUPLICATE-SD34
CR73|Crossref|2026|Structures|Prediction of mechanical strength and performance of AAB concrete with PDP (10.1016/j.istruc.2025.110896)|DUPLICATE-SD72
CR74|Crossref|2025|Journal of Structural Design and Construction Practice|Experimental Verification for ML Approaches in CS Prediction of AAC (10.1061/jsdccc.sceng-1565)|INCLUDE
CR75|Crossref|2021|Applied Sciences|ML Approaches for Prediction of the CS of Alkali Activated Termite Mound Soil (10.3390/app11114754)|INCLUDE
CR76|Crossref|2023|Construction and Building Materials|Prediction of CS and feature importance solid waste AAM (10.1016/j.conbuildmat.2023.133545)|DUPLICATE-SD60
CR77|Crossref|2025|Materials Today Communications|ML prediction of drying shrinkage for AAM (10.1016/j.mtcomm.2025.112326)|DUPLICATE-SD112
CR78|Crossref|2023|Construction and Building Materials|Effect of composition and curing on alkali activated fly ash-slag binders (10.1016/j.conbuildmat.2022.129940)|DUPLICATE-SD183
CR79|Crossref|2026|Scientific Reports|ML-driven optimization of alkali-activated sustainable pavement concrete incorporating agro-industrial wastes (10.1038/s41598-026-55050-6)|INCLUDE
CR80|Crossref|2024|Materials|Elemental Design of Alkali-Activated Materials with Solid Wastes Using ML (10.3390/ma17184573)|INCLUDE
CR81|Crossref|2025|Asian Journal of Civil Engineering|ML modelling for strength prediction and durability of AAB with POFA and granite dust (10.1007/s42107-025-01319-6)|INCLUDE
CR82|Crossref|2022|Chemical Physics|Interpretable hybrid ML prediction of dielectric constant of alkali halide crystals|EXCLUDE-EC2
CR83|Crossref|2023|Case Studies in Construction Materials|Application of ML in predicting workability for AAM (10.1016/j.cscm.2023.e02173)|DUPLICATE-SD127
CR84|Crossref|2025|Engineering Applications of Artificial Intelligence|Intelligent hybrid ML framework for CS prediction of AAB (10.1016/j.engappai.2025.110971)|DUPLICATE-SD101
CR85|Crossref|2026|Materials|Predicting Mechanical Strength of Alkali-Activated High-Performance Concrete Using ML Methods (10.3390/ma19112235)|INCLUDE
CR86|Crossref|2026|Case Studies in Construction Materials|Computational insights into drying shrinkage (10.1016/j.cscm.2026.e06159)|DUPLICATE-SD9
CR87|Crossref|2025|Journal of Wuhan University of Technology-Mater Sci Ed|ML Prediction and Feature Impact Analysis of Durability Performance of Solid Waste-AAM (10.1007/s11595-025-3171-z)|INCLUDE
CR88|Crossref|2024|Multiscale and Multidisciplinary Modeling Experiments and Design|Metaheuristic optimization of ML models for strength prediction of HP self-compacting AAS concrete (10.1007/s41939-023-00349-4)|INCLUDE
CR89|Crossref|2021|Composites Part B|Coupling ML with thermodynamic modelling (10.1016/j.compositesb.2021.108801)|DUPLICATE-SD187
CR90|Crossref|2021|Cement and Concrete Composites|ML to predict properties of fresh and hardened AAC (10.1016/j.cemconcomp.2020.103863)|DUPLICATE-SD199
CR91|Crossref|2026|Research on Engineering Structures and Materials|Performance assessment of sustainable one-part AAC: experimental and ML approach (10.17515/resm2026-1531ma0224rs)|INCLUDE
CR92|Crossref|2021|Advances in Machine Learning & AI|Ensemble ML Model for Software Defect Prediction|EXCLUDE-EC2
CR93|Crossref|2024|Archives of Civil and Mechanical Engineering|Active learning on stacked ML techniques for predicting CS of alkali-activated UHPC (10.1007/s43452-024-01067-5)|INCLUDE
CR94|Crossref|2025|Radiation Physics and Chemistry|Prediction of mass attenuation coefficients in mixed alkali and borosilicate glasses|EXCLUDE-EC2
CR95|Crossref|2026|Sustainable Chemistry and Pharmacy|Sustainable alkali-activated mortars from BFS with basalt fibers (10.1016/j.scp.2026.102318)|DUPLICATE-SD94
CR96|Crossref|2024|Engineering Applications of Artificial Intelligence|ML methods for estimating CS of HP AAC (10.1016/j.engappai.2024.109053)|DUPLICATE-SD154
CR97|Crossref|2024|Sustainable Materials and Technologies|ML models for predicting CS of OPC concrete and AAM (10.1016/j.susmat.2024.e01191)|DUPLICATE-SD121
CR98|Crossref|2024|Advances in Machine Learning & AI|ML for Wireless Network Throughput Prediction|EXCLUDE-EC2
CR99|Crossref|2024|Materials|Performance Characterization and Composition Design Using ML for Slag-Desulfurization Gypsum-Based AAM (10.3390/ma17143540)|INCLUDE
CR100|Crossref|2025|IJCNWC|A ML-BASED HOLISTIC FRAMEWORK FOR AIRFARE PRICE PREDICTION|EXCLUDE-EC2
