id|source|year|venue|title|decision
SD74|ScienceDirect|2025|Open Ceramics|Systematic data-driven meta-analysis of class F fly-ash geopolymer concrete|INCLUDE
SD75|ScienceDirect|2026|Ceramics International|Understanding the Behavior of Traditional Ceramics Waste Under Alkali Activation: Process, Thermal, and Mineralogical Effects|EXCLUDE-EC3
SD76|ScienceDirect|2026|Ain Shams Engineering Journal|Neural network-based prediction of mechanical properties in high-strength fly ash-based geopolymer mortars|INCLUDE
SD77|ScienceDirect|2024|Cement and Concrete Composites|Knowledge-guided data-driven design of ultra-high-performance geopolymer (UHPG)|INCLUDE
SD78|ScienceDirect|2023|Environmental Technology & Innovation|Neural network optimization during the purification of industrial effluents using steel slag|EXCLUDE-EC5
SD79|ScienceDirect|2025|Results in Engineering|Sustainable approach of strength measurement for soil's stabilized with geo-polymer with hybrid ensemble models|INCLUDE
SD80|ScienceDirect|2025|Sustainable Chemistry and Pharmacy|Recycling three local waste materials for optimizing the mechanical performance of fly ash-based geopolymer cement: ternary mixture design and ANN modeling|INCLUDE
SD81|ScienceDirect|2024|Case Studies in Construction Materials|Mechanics and microstructure analysis of geopolymer utilizing ilmenite tailing and metakaolin powder as alkali-activated materials|EXCLUDE-EC3
SD82|ScienceDirect|2026|Theoretical and Applied Fracture Mechanics|Mode I/III fracture toughness of alkali-activated concrete at elevated temperatures|EXCLUDE-EC3
SD83|ScienceDirect|2025|Artificial Intelligence in Geosciences|Interpretable machine learning models for evaluating strength of ternary geopolymers|INCLUDE
SD84|ScienceDirect|2025|Sustainable Materials and Technologies|Structural-functional geopolymer/Ag9(SiO4)2NO3/g-C3N4 adsorbent-photocatalysts|EXCLUDE-EC5
SD85|ScienceDirect|2022|Construction and Building Materials|Structure, morphology and compressive strength of Alkali-activated mortars containing waste bottle glass nanoparticles|EXCLUDE-EC3
SD86|ScienceDirect|2026|Materials Today Communications|Data driven modeling and experimental validation of alkali activated materials for construction applications|INCLUDE
SD87|ScienceDirect|2022|Expert Systems with Applications|Segmentation of backscattered electron images of geopolymers using convolutional autoencoder network|INCLUDE
SD88|ScienceDirect|2024|Results in Engineering|Harnessing explainable Artificial Intelligence (XAI) for enhanced geopolymer concrete mix optimization|INCLUDE
SD89|ScienceDirect|2025|Construction and Building Materials|Predictive modelling and experimental validation of temperature effects on sustainable geopolymer concrete strength|INCLUDE
SD90|ScienceDirect|2022|Journal of Cleaner Production|Potential utilization of waste glass powder as a precursor material in synthesizing ecofriendly ternary blended geopolymer matrix|EXCLUDE-EC3
SD91|ScienceDirect|2026|Cement and Concrete Research|Quantifying resolution-dependent microstructure and pore-network topology in LDH-modified alkali-activated slag pastes via synchrotron X-ray nano-holotomography|INCLUDE-FT
SD92|ScienceDirect|2023|Ceramics International|Effect of high volume tile ceramic wastes on resistance of geopolymer mortars to abrasion and freezing-thawing cycles: Experimental and deep learning modelling|INCLUDE
SD93|ScienceDirect|2026|Materials Today Communications|Predicting the mechanical strength of geopolymer concrete by using ensemble learning with nature-inspired intelligence|INCLUDE
SD94|ScienceDirect|2026|Sustainable Chemistry and Pharmacy|Sustainable alkali-activated mortars from blast furnace slag reinforced with basalt fibers: Thermal performance, microstructure, and machine learning analysis|INCLUDE
SD95|ScienceDirect|2025|Procedia Structural Integrity|Assessment of AI Techniques for Estimating the Property of Strength of Geopolymers Concrete|EXCLUDE-EC4
SD96|ScienceDirect|2022|Cement and Concrete Research|Deep long short-term memory (LSTM) networks for ultrasonic-based distributed damage assessment in concrete|EXCLUDE-EC2
SD97|ScienceDirect|2026|Cleaner Environmental Systems|Workability of geopolymer concrete and mortar materials: A systematic review|CONTEXT-REVIEW
SD98|ScienceDirect|2025|Journal of Building Engineering|A review of machine learning methods for geopolymer performance prediction: Linking data-driven models with physical insights|CONTEXT-REVIEW
SD99|ScienceDirect|2024|Journal of Water Process Engineering|Modification of geo-filters (BOF Slag - NaOH/Na2SiO3/FA) for removal of Fe3+ and SO42- from acidic mine effluent: AI modeling|EXCLUDE-EC2
SD100|ScienceDirect|2021|Construction and Building Materials|Synthesis of rubberized Alkali-activated Concrete: Experimental and numerical evaluation|INCLUDE-FT
SD101|ScienceDirect|2025|Engineering Applications of Artificial Intelligence|An intelligent hybrid machine learning framework for compressive strength prediction of alkali-activated binders based on fly ash characteristics|INCLUDE
SD102|ScienceDirect|2024|Proceedings ICE - Smart Infrastructure and Construction|The application of GIS viewable area analysis based on algorithm in landscape planning and design|EXCLUDE-EC2
SD103|ScienceDirect|2026|Powder Technology|High-fidelity data-driven multi-objective design of class F fly ash-geopolymer concrete|INCLUDE
SD104|ScienceDirect|2022|Materials Today: Proceedings|Experimental study of strength behavior of soft soil stabilised with alkali activated copper slag|EXCLUDE-EC4
SD105|ScienceDirect|2021|Ceramics International|Bonding behavior of concrete matrix and alkali-activated mortar incorporating nano-SiO2 and polyvinyl alcohol fiber: Theoretical analysis and prediction model|INCLUDE
SD106|ScienceDirect|2025|Next Materials|Development of an ANN based model for tailoring the fracture response of eco-friendly engineered geopolymer composites (EGC)|INCLUDE
SD107|ScienceDirect|2025|Procedia Structural Integrity|Prediction of Geopolymer Composite Strength Using Soft Computing Techniques|EXCLUDE-EC4
SD108|ScienceDirect|2025|Results in Materials|Effect of ingredients and experimental parameter on the rheological and mechanical properties of self-compacting agro-geopolymer paste: Experimental and autoencoder based deep learning|INCLUDE
SD109|ScienceDirect|2024|Engineering Structures|Enhancing load prediction for structures with concrete overlay using transfer learning of time-frequency feature-based deep models|EXCLUDE-EC2
SD110|ScienceDirect|2024|Journal of Building Engineering|An innovative intelligent design method of alkali-activated foamed geopolymer: Mixture optimization and performance prediction|INCLUDE
SD111|ScienceDirect|2024|Case Studies in Construction Materials|Predictive modelling of compressive strength of fly ash and GGBS based geopolymer concrete using machine learning techniques|INCLUDE
SD112|ScienceDirect|2025|Materials Today Communications|Machine learning prediction of drying shrinkage for alkali-activated materials and multi-objective optimization|INCLUDE
SD113|ScienceDirect|2024|Journal of Hazardous Materials|Machine learning-based prediction of heavy metal immobilization rate in the solidification/stabilization of MSWI fly ash by geopolymers|INCLUDE
SD114|ScienceDirect|2025|Journal of Cleaner Production|Sustainable dynamic multi-objective optimization framework of fiber-reinforced geopolymer for soils stabilization based on machine learning and NSGA-II|INCLUDE
SD115|ScienceDirect|2026|Microchemical Journal|AI-driven smart materials intelligence for the sustainable valorization of phosphogypsum in green engineering applications|INCLUDE
SD116|ScienceDirect|2024|Journal of Building Engineering|Understanding the synergistic geopolymerization mechanism of multiple solid wastes in ternary geopolymers|INCLUDE
SD117|ScienceDirect|2021|Procedia Structural Integrity|Fracture parameters of alkali-activated aluminosilicate composites with ceramic precursor|EXCLUDE-EC4
SD118|ScienceDirect|2026|Results in Engineering|Influence of chemical components and molar ratios on strength development of one-part alkali-activated mortar: Ensemble machine learning models|INCLUDE
SD119|ScienceDirect|2024|Construction and Building Materials|Fracture toughness of alkali-activated concrete subjected to aggressive environment|INCLUDE-FT
SD120|ScienceDirect|2025|Journal of Environmental Chemical Engineering|Nanoscale intergrowth of adsorption-photocatalysis active sites of geopolymer/Ag9(SiO4)2NO3|EXCLUDE-EC5
SD121|ScienceDirect|2024|Sustainable Materials and Technologies|Machine learning models for predicting the compressive strengths of ordinary Portland cement concrete and alkali-activated materials|INCLUDE
SD122|ScienceDirect|2026|Powder Technology|Explainable machine learning prediction of compressive strength in ternary industrial waste-based geopolymer grouting material|INCLUDE
SD123|ScienceDirect|2015|Ceramics International|Modelling of compressive strength of geopolymer paste, mortar and concrete by optimized support vector machine|INCLUDE
SD124|ScienceDirect|2013|Advances in Engineering Software|Fracture properties of cement and alkali activated fly ash based concrete with application to segmental tunnel lining|INCLUDE-FT
SD125|ScienceDirect|2025|Journal of Environmental Chemical Engineering|All-solid-waste alkali-activated materials: A critical review of multi-waste synergy, heavy metal stabilization, and sustainable engineering applications|CONTEXT-REVIEW
SD126|ScienceDirect|2026|Cement and Concrete Composites|Evaluation of strength development of one-part alkali-activated materials through machine learning and thermodynamic modelling|INCLUDE
SD127|ScienceDirect|2023|Case Studies in Construction Materials|Application of machine learning in predicting workability for alkali-activated materials|INCLUDE
SD128|ScienceDirect|2026|CMES - Computer Modeling in Engineering and Sciences|Interpretable Deep Learning Framework for Predicting Compressive Strength of Steel Fiber Reinforced Geopolymer Concrete|INCLUDE
SD129|ScienceDirect|2024|Materials Today Communications|Multi-objective optimization of ternary geopolymers with multiple solid wastes|INCLUDE
SD130|ScienceDirect|2025|Hybrid Advances|Sustainable geopolymer concrete evaluation using machine learning and PDP analysis|INCLUDE
SD131|ScienceDirect|2022|Construction and Building Materials|Compressive strength prediction of one-part alkali activated material enabled by interpretable machine learning|INCLUDE
SD132|ScienceDirect|2023|Construction and Building Materials|Mechanical properties prediction of blast furnace slag and fly ash-based alkali-activated concrete by machine learning methods|INCLUDE
SD133|ScienceDirect|2026|Journal of Constructional Steel Research|Compression performance of square concrete-filled steel tube columns with steel-fibre-reinforced geopolymer concrete: Experiment, simulation and machine-learning|INCLUDE
SD134|ScienceDirect|2024|Results in Engineering|Harmonizing smart technologies with building resilience and sustainable built environment systems|EXCLUDE-EC2
SD135|ScienceDirect|2025|Construction and Building Materials|Physics-based probabilistic analysis of corrosion initiation in alkali-activated slag concrete assisted by machine learning|INCLUDE
SD136|ScienceDirect|2025|Construction and Building Materials|Transfer learning framework for modelling the compressive strength of ultra-high performance geopolymer concrete|INCLUDE
SD137|ScienceDirect|2022|Journal of Cleaner Production|Evaluation of geopolymer concrete at high temperatures: An experimental study using machine learning|INCLUDE
SD138|ScienceDirect|2026|Results in Engineering|Predicting hygro-mechanical properties of natural Borassus fiber reinforced bio-based alkali activated matrix: an ensemble learning approach|INCLUDE
SD139|ScienceDirect|2025|Case Studies in Construction Materials|A comparative performance analysis of machine learning models for compressive strength prediction in fly ash-based geopolymers concrete using reference data|INCLUDE
SD140|ScienceDirect|2025|Results in Engineering|Machine learning-based predictive modelling of biodiesel production from animal fats catalysed by a blast furnace slag geopolymer|EXCLUDE-EC5
SD141|ScienceDirect|2025|Waste Management Bulletin|Applications of machine learning algorithms on the compressive strength of laterite blocks made with metakaolin-based geopolymer and sugarcane molasses|INCLUDE
SD142|ScienceDirect|2024|Construction and Building Materials|Machine learning approaches to predict compressive strength of fly ash-based geopolymer concrete: A comprehensive review|CONTEXT-REVIEW
SD143|ScienceDirect|2026|Results in Engineering|Metaheuristic optimization of a hybrid GMDH-RBF model for predicting the unconfined compressive strength of natural pozzolan-stabilized sand|INCLUDE-FT
SD144|ScienceDirect|2026|Construction and Building Materials|Intelligent identification of crack modes and damage evolution in SCA-modified metakaolin-based geopolymers using AE, DIC, and CNN|INCLUDE
SD145|ScienceDirect|2024|Materials Today Communications|AI-driven design for the compressive strength of ultra-high performance geopolymer concrete (UHPGC): From explainable ensemble models to the GUI|INCLUDE
SD146|ScienceDirect|2025|Case Studies in Construction Materials|Integrated machine learning and response surface methodology for comprehensive rheological characterization of low-carbon binders|INCLUDE
SD147|ScienceDirect|2024|Case Studies in Construction Materials|Explicable AI-based modeling for the compressive strength of metakaolin-derived geopolymers|INCLUDE
